Date,TSE
2018/3/1,10779.10 
2018/3/2,10719.29 
2018/3/5,10727.45 
2018/3/6,10711.15 
2018/3/7,10762.99 
2018/3/8,10788.43 
2018/3/9,10847.74 
2018/3/12,10908.99 
2018/3/13,11022.15 
2018/3/14,11063.73 
2018/3/15,11039.60 
2018/3/16,11010.24 
2018/3/19,11004.81 
2018/3/20,11016.85 
2018/3/21,11037.35 
2018/3/22,11045.90 
2018/3/23,10863.67 
2018/3/26,10783.57 
2018/3/27,10901.69 
2018/3/28,10939.97 
2018/3/29,10855.66 
2018/3/30,10905.30 
2018/4/2,10925.71 
2018/4/3,10936.26 
2018/4/9,10837.54 
2018/4/10,10880.14 
2018/4/11,10885.64 
2018/4/12,10961.70 
2018/4/13,10984.12 
2018/4/16,10975.58 
2018/4/17,10962.36 
2018/4/18,10953.51 
2018/4/19,10842.88 
2018/4/20,10891.66 
2018/4/23,10802.42 
2018/4/24,10756.89 
2018/4/25,10680.38 
2018/4/26,10541.83 
2018/4/27,10583.08 
2018/4/30,10546.29 
2018/5/2,10553.41 
2018/5/3,10665.52 
2018/5/4,10578.98 
2018/5/7,10516.45 
2018/5/8,10581.78 
2018/5/9,10610.44 
2018/5/10,10692.89 
2018/5/11,10731.68 
2018/5/14,10808.40 
2018/5/15,10938.30 
2018/5/16,10965.08 
2018/5/17,10873.54 
2018/5/18,10911.74 
2018/5/21,10844.09 
2018/5/22,10861.66 
2018/5/23,10986.77 
2018/5/24,10974.52 
2018/5/25,10910.61 
2018/5/28,10946.62 
2018/5/29,10976.49 
2018/5/30,10979.68 
2018/5/31,10925.21 
2018/6/1,10856.03 
2018/6/4,10882.68 
2018/6/5,11002.15 
2018/6/6,11130.03 
2018/6/7,11111.14 
2018/6/8,11228.64 
2018/6/11,11243.59 
2018/6/12,11168.99 
2018/6/13,11140.02 
2018/6/14,11153.20 
2018/6/15,11143.04 
2018/6/19,10998.20 
2018/6/20,11008.77 
2018/6/21,10904.80 
2018/6/22,10949.85 
2018/6/25,10901.25 
2018/6/26,10834.07 
2018/6/27,10730.90 
2018/6/28,10766.88 
2018/6/29,10669.42 
2018/7/2,10667.64 
2018/7/3,10852.17 
2018/7/4,10802.88 
2018/7/5,10714.25 
2018/7/6,10690.91 
2018/7/9,10645.66 
2018/7/10,10638.90 
2018/7/11,10737.62 
2018/7/12,10693.64 
2018/7/13,10644.91 
2018/7/16,10769.70 
2018/7/17,10867.97 
2018/7/18,10802.75 
2018/7/19,10811.43 
2018/7/20,10868.56 
2018/7/23,10932.51 
2018/7/24,10929.46 
2018/7/25,10937.77 
2018/7/26,10957.66 
2018/7/27,10969.35 
2018/7/30,11023.07 
